Date,Rainfall_total
2018-05-30,5.17
2018-05-31,0.1
2018-06-01,0
2018-06-02,0
2018-06-03,0
2018-06-04,0
2018-06-05,0
2018-06-06,0.44
2018-06-07,0
2018-06-08,0
2018-06-09,0
2018-06-10,0
2018-06-11,0.06
2018-06-12,0
2018-06-13,0
2018-06-14,0.26
2018-06-15,0
2018-06-16,0.11
2018-06-17,0
2018-06-18,0
2018-06-19,0
2018-06-20,0
2018-06-21,0
2018-06-22,0
2018-06-23,0
2018-06-24,0
2018-06-25,0
2018-06-26,0
2018-06-27,0
2018-06-28,0
2018-06-29,0
2018-06-30,0
2018-07-01,10.41
2018-07-02,0
2018-07-03,0
2018-07-04,0.06
2018-07-05,0
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,0
2018-07-10,0
2018-07-11,0
2018-07-12,0.3
2018-07-13,0
2018-07-14,0
2018-07-15,0
2018-07-16,0
2018-07-17,0
2018-07-18,0
2018-07-19,0
2018-07-20,1.35
2018-07-21,0.49
2018-07-22,0
2018-07-23,0
2018-07-24,0
2018-07-25,0
2018-07-26,0
2018-07-27,0.71
2018-07-28,4.64
2018-07-29,6.38
2018-07-30,0.72
2018-07-31,0
2018-08-01,0
2018-08-02,0
2018-08-03,0
2018-08-04,0
2018-08-05,0
2018-08-06,0
2018-08-07,0
2018-08-08,2.54
2018-08-09,0.18
2018-08-10,1.29
2018-08-11,5.18
2018-08-12,9.49
2018-08-13,0.34
2018-08-14,0.15
2018-08-15,0
2018-08-16,10.59
2018-08-17,0.59
2018-08-18,0.39
2018-08-19,0
2018-08-20,0.6
2018-08-21,0.24
2018-08-22,0
2018-08-23,1.81
2018-08-24,5.74
2018-08-25,0
2018-08-26,4.77
2018-08-27,0.56
2018-08-28,0
2018-08-29,0.24
2018-08-30,0
2018-08-31,0
2018-09-01,0
2018-09-02,0
2018-09-03,0.83
2018-09-04,0
2018-09-05,0
2018-09-06,1.82
2018-09-07,0
2018-09-08,0.34
2018-09-09,0.13
2018-09-10,0
2018-09-11,2.2
2018-09-12,0.83
2018-09-13,0
2018-09-14,0.99
2018-09-15,0
2018-09-16,0.24
2018-09-17,0
2018-09-18,2.65
2018-09-19,2.3
2018-09-20,17.3
2018-09-21,1.3
2018-09-22,28.21
2018-09-23,11.24
2018-09-24,0
2018-09-25,0
2018-09-26,0
2018-09-27,0
2018-09-28,0
2018-09-29,0
2018-09-30,0.16
2018-10-01,0
2018-10-02,2.7
2018-10-03,0
2018-10-04,0
2018-10-05,0
2018-10-06,4.72
2018-10-07,0
2018-10-08,0
2018-10-09,0
2018-10-10,1.36
2018-10-11,3.83
2018-10-12,29.48
2018-10-13,12.9
2018-10-14,13.04
2018-10-15,1.27
2018-10-16,0.09
2018-10-17,0.16
2018-10-18,0
2018-10-19,0
2018-10-20,0
2018-10-21,0
2018-10-22,0
2018-10-23,0.18
2018-10-24,0
2018-10-25,0
2018-10-26,5.14
2018-10-27,0.12
2018-10-28,0
2018-10-29,0
2018-10-30,0
2018-10-31,13.6
2018-11-01,1.7
2018-11-02,0
2018-11-03,0.31
2018-11-04,3.25
2018-11-05,0
2018-11-06,6.51
2018-11-07,12.36
2018-11-08,1.26
2018-11-09,20.69
2018-11-10,3.22
2018-11-11,1.08
2018-11-12,3.32
2018-11-13,0.44
2018-11-14,0
2018-11-15,0
2018-11-16,0.08
2018-11-17,0.13
2018-11-18,0
2018-11-19,0
2018-11-20,0
2018-11-21,0.48
2018-11-22,0.06
2018-11-23,52.63
2018-11-24,8.76
2018-11-25,0.16
2018-11-26,0
2018-11-27,17.54
2018-11-28,3.02
2018-11-29,18.48
2018-11-30,1.97
2018-12-01,10.29
2018-12-02,8.82
2018-12-03,3.6
2018-12-04,1.27
2018-12-05,7.18
2018-12-06,2.68
2018-12-07,13.57
2018-12-08,9.34
2018-12-09,5.78
2018-12-10,0
2018-12-11,0.09
2018-12-12,4.55
2018-12-13,0
2018-12-14,0
2018-12-15,23.26
2018-12-16,6.34
2018-12-17,0.36
2018-12-18,16.25
2018-12-19,3.92
2018-12-20,6.78
2018-12-21,8.41
2018-12-22,0.25
2018-12-23,13.61
2018-12-24,1.7
2018-12-25,0.38
2018-12-26,0
2018-12-27,0
2018-12-28,0.07
2018-12-29,0.26
2018-12-30,0.1
2018-12-31,0
2019-01-01,0.07
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,0
2019-01-06,0
2019-01-07,0
2019-01-08,0
2019-01-09,0
2019-01-10,0.89
2019-01-11,0.22
2019-01-12,1.32
2019-01-13,0
2019-01-14,0
2019-01-15,0
2019-01-16,5.56
2019-01-17,0.42
2019-01-18,6.91
2019-01-19,1.15
2019-01-20,0
2019-01-21,4.37
2019-01-22,4.62
2019-01-23,0.14
2019-01-24,3.75
2019-01-25,0.25
2019-01-26,10.13
2019-01-27,4.38
2019-01-28,0
2019-01-29,3.84
2019-01-30,7.12
2019-01-31,12.22
2019-02-01,0.17
2019-02-02,0
2019-02-03,0.12
2019-02-04,4.69
2019-02-05,6.62
2019-02-06,0.93
2019-02-07,4.67
2019-02-08,13.7
2019-02-09,3.02
2019-02-10,10.91
2019-02-11,0.44
2019-02-12,0
2019-02-13,0
2019-02-14,0
2019-02-15,0
2019-02-16,0
2019-02-17,0
2019-02-18,0.21
2019-02-19,0
2019-02-20,0.46
2019-02-21,0
2019-02-22,0
2019-02-23,0
2019-02-24,0
2019-02-25,0
2019-02-26,0
2019-02-27,0
2019-02-28,3.48
2019-03-01,2.56
2019-03-02,4.27
2019-03-03,5.22
2019-03-04,5.97
2019-03-05,15.03
2019-03-06,6.63
2019-03-07,4.61
2019-03-08,0.52
2019-03-09,3.57
2019-03-10,2.66
2019-03-11,1.02
2019-03-12,13.65
2019-03-13,0.15
